epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,28.613,1.79846,1.51567,1.1598,0.89772,0.09993,0.15443,0.07025,1.96293,3.05214,1.33762,0.000671028,0.000671028,0.000671028
44,29.2329,1.83651,1.39219,1.1389,0.89772,0.09993,0.15443,0.07025,1.96293,3.05214,1.33762,0.000686295,0.000686295,0.000686295
45,29.8722,1.7454,1.37415,1.12253,0.90424,0.08974,0.16534,0.07761,2.03373,3.05051,1.38968,0.00070153,0.00070153,0.00070153
46,30.7075,1.72992,1.34082,1.11829,0.90424,0.08974,0.16534,0.07761,2.03373,3.05051,1.38968,0.000716731,0.000716731,0.000716731
47,31.5471,1.8443,1.44172,1.15986,0.83777,0.08974,0.14918,0.07149,2.09254,3.07687,1.44247,0.000731899,0.000731899,0.000731899
48,32.4449,1.87033,1.39865,1.1199,0.83777,0.08974,0.14918,0.07149,2.09254,3.07687,1.44247,0.000747034,0.000747034,0.000747034
49,33.4481,1.8314,1.3163,1.11335,0.78389,0.0641,0.11602,0.06071,2.10402,3.01895,1.4249,0.000762136,0.000762136,0.000762136
50,33.978,1.78246,1.35336,1.11728,0.78389,0.0641,0.11602,0.06071,2.10402,3.01895,1.4249,0.000777206,0.000777206,0.000777206
51,34.5341,1.7868,1.47218,1.1858,0.70548,0.07692,0.1306,0.06603,2.05282,2.94667,1.37616,0.000792242,0.000792242,0.000792242
52,35.088,1.77129,1.34244,1.13294,0.70548,0.07692,0.1306,0.06603,2.05282,2.94667,1.37616,0.000807245,0.000807245,0.000807245
53,35.5819,1.68429,1.25633,1.13948,0.70548,0.07692,0.1306,0.06603,2.05282,2.94667,1.37616,0.000822215,0.000822215,0.000822215
54,36.1948,1.77051,1.36062,1.12572,0.71149,0.0641,0.17007,0.08372,2.06613,2.78285,1.36361,0.000837152,0.000837152,0.000837152
55,36.6274,1.94769,1.3967,1.20388,0.71149,0.0641,0.17007,0.08372,2.06613,2.78285,1.36361,0.000852056,0.000852056,0.000852056
56,37.2039,1.85678,1.43516,1.17581,0.71149,0.0641,0.17007,0.08372,2.06613,2.78285,1.36361,0.000866928,0.000866928,0.000866928
57,37.6947,1.54181,1.16647,1.07779,0.78632,0.0641,0.20045,0.08468,2.1087,2.76754,1.38846,0.000881766,0.000881766,0.000881766
58,38.3308,1.875,1.3073,1.14745,0.78632,0.0641,0.20045,0.08468,2.1087,2.76754,1.38846,0.000896571,0.000896571,0.000896571
59,38.7631,1.69703,1.19273,1.10791,0.78632,0.0641,0.20045,0.08468,2.1087,2.76754,1.38846,0.000911343,0.000911343,0.000911343
60,39.2959,1.64143,1.18005,1.08185,0.90833,0.05128,0.23351,0.10554,2.15572,2.79609,1.40552,0.000926082,0.000926082,0.000926082
61,39.8515,1.74167,1.2784,1.1284,0.90833,0.05128,0.23351,0.10554,2.15572,2.79609,1.40552,0.000940788,0.000940788,0.000940788
62,40.4733,1.67996,1.19227,1.09133,0.90833,0.05128,0.23351,0.10554,2.15572,2.79609,1.40552,0.000955461,0.000955461,0.000955461
63,40.9734,1.73076,1.28162,1.10039,0.90576,0.05572,0.22383,0.10262,2.21124,2.79825,1.41741,0.000970101,0.000970101,0.000970101
64,41.4978,1.81476,1.27959,1.08441,0.90576,0.05572,0.22383,0.10262,2.21124,2.79825,1.41741,0.000984708,0.000984708,0.000984708
65,42.0066,1.68945,1.36446,1.20224,0.90576,0.05572,0.22383,0.10262,2.21124,2.79825,1.41741,0.000999282,0.000999282,0.000999282
66,42.527,1.73586,1.26311,1.10741,0.8011,0.03846,0.20367,0.07467,2.15607,2.79528,1.3966,0.00101382,0.00101382,0.00101382
67,43.0813,1.70707,1.30554,1.13673,0.8011,0.03846,0.20367,0.07467,2.15607,2.79528,1.3966,0.00102833,0.00102833,0.00102833
68,43.704,1.66426,1.21117,1.07509,0.8011,0.03846,0.20367,0.07467,2.15607,2.79528,1.3966,0.00104281,0.00104281,0.00104281
69,44.4664,1.63299,1.26686,1.10931,0.02821,0.55833,0.07701,0.03007,2.15673,3.28665,1.44661,0.00105725,0.00105725,0.00105725
70,45.3379,1.67285,1.33967,1.12685,0.02821,0.55833,0.07701,0.03007,2.15673,3.28665,1.44661,0.00107166,0.00107166,0.00107166
71,46.1661,1.87593,1.24542,1.14525,0.02821,0.55833,0.07701,0.03007,2.15673,3.28665,1.44661,0.00108603,0.00108603,0.00108603
72,47.0763,1.8889,1.25938,1.1283,0.19849,0.07564,0.0918,0.04796,2.12404,3.62824,1.42081,0.00110038,0.00110038,0.00110038
73,47.7715,1.51216,1.13492,1.11611,0.19849,0.07564,0.0918,0.04796,2.12404,3.62824,1.42081,0.00111469,0.00111469,0.00111469
74,48.2628,1.53525,1.09788,1.0963,0.19849,0.07564,0.0918,0.04796,2.12404,3.62824,1.42081,0.00112896,0.00112896,0.00112896
75,48.8529,1.85103,1.27465,1.13702,0.6663,0.08846,0.23124,0.12227,2.06458,2.94,1.36278,0.00114321,0.00114321,0.00114321
76,49.3884,1.71179,1.24705,1.11664,0.6663,0.08846,0.23124,0.12227,2.06458,2.94,1.36278,0.00115742,0.00115742,0.00115742
77,49.957,1.65759,1.2375,1.10803,0.6663,0.08846,0.23124,0.12227,2.06458,2.94,1.36278,0.0011716,0.0011716,0.0011716
78,50.5238,1.80993,1.26789,1.10548,0.69263,0.09218,0.2423,0.13274,2.07512,2.93475,1.36149,0.00118574,0.00118574,0.00118574
79,51.1255,1.734,1.28018,1.10568,0.69263,0.09218,0.2423,0.13274,2.07512,2.93475,1.36149,0.00119985,0.00119985,0.00119985
